Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Fat Content,1999 May,Domestic,%,3.52
Fat Content,1999 May,Import,%,
Fat Content,1999 June,Domestic,%,3.54
Fat Content,1999 June,Import,%,
Fat Content,1999 July,Domestic,%,3.6
Fat Content,1999 July,Import,%,
Fat Content,1999 August,Domestic,%,3.71
Fat Content,1999 August,Import,%,
Fat Content,1999 September,Domestic,%,3.89
Fat Content,1999 September,Import,%,
Fat Content,1999 October,Domestic,%,4.11
Fat Content,1999 October,Import,%,
Fat Content,1999 November,Domestic,%,4.12
Fat Content,1999 November,Import,%,
Fat Content,1999 December,Domestic,%,3.89
Fat Content,1999 December,Import,%,
Fat Content,2000 January,Domestic,%,3.73
Fat Content,2000 January,Import,%,
Fat Content,2000 February,Domestic,%,3.67
Fat Content,2000 February,Import,%,
Fat Content,2000 March,Domestic,%,3.63
Fat Content,2000 March,Import,%,
Fat Content,2000 April,Domestic,%,3.55
Fat Content,2000 April,Import,%,
Fat Content,2000 May,Domestic,%,3.53
Fat Content,2000 May,Import,%,
Fat Content,2000 June,Domestic,%,3.57
Fat Content,2000 June,Import,%,
Fat Content,2000 July,Domestic,%,3.62
Fat Content,2000 July,Import,%,
Fat Content,2000 August,Domestic,%,3.73
Fat Content,2000 August,Import,%,
Fat Content,2000 September,Domestic,%,3.92
Fat Content,2000 September,Import,%,
Fat Content,2000 October,Domestic,%,4.17
Fat Content,2000 October,Import,%,
Fat Content,2000 November,Domestic,%,4.14
Fat Content,2000 November,Import,%,
Fat Content,2000 December,Domestic,%,3.93
Fat Content,2000 December,Import,%,
Fat Content,2001 January,Domestic,%,3.78
Fat Content,2001 January,Import,%,
Fat Content,2001 February,Domestic,%,3.74
Fat Content,2001 February,Import,%,
Fat Content,2001 March,Domestic,%,3.71
Fat Content,2001 March,Import,%,
Fat Content,2001 April,Domestic,%,3.62
Fat Content,2001 April,Import,%,
Fat Content,2001 May,Domestic,%,3.52
Fat Content,2001 May,Import,%,
Fat Content,2001 June,Domestic,%,3.56
Fat Content,2001 June,Import,%,
Fat Content,2001 July,Domestic,%,3.64
Fat Content,2001 July,Import,%,
Fat Content,2001 August,Domestic,%,3.75
Fat Content,2001 August,Import,%,
Fat Content,2001 September,Domestic,%,3.89
Fat Content,2001 September,Import,%,
Fat Content,2001 October,Domestic,%,4.12
Fat Content,2001 October,Import,%,
Fat Content,2001 November,Domestic,%,4.2
Fat Content,2001 November,Import,%,
Fat Content,2001 December,Domestic,%,4.02
Fat Content,2001 December,Import,%,
Fat Content,2002 January,Domestic,%,3.81
Fat Content,2002 January,Import,%,
Fat Content,2002 February,Domestic,%,3.77
Fat Content,2002 February,Import,%,
Fat Content,2002 March,Domestic,%,3.73
Fat Content,2002 March,Import,%,
Fat Content,2002 April,Domestic,%,3.6
Fat Content,2002 April,Import,%,
Fat Content,2002 May,Domestic,%,3.59
Fat Content,2002 May,Import,%,
Fat Content,2002 June,Domestic,%,3.62
Fat Content,2002 June,Import,%,
Fat Content,2002 July,Domestic,%,3.62
Fat Content,2002 July,Import,%,
Fat Content,2002 August,Domestic,%,3.69
Fat Content,2002 August,Import,%,
Fat Content,2002 September,Domestic,%,3.84
Fat Content,2002 September,Import,%,
Fat Content,2002 October,Domestic,%,4.1
Fat Content,2002 October,Import,%,
Fat Content,2002 November,Domestic,%,4.22
Fat Content,2002 November,Import,%,
Fat Content,2002 December,Domestic,%,3.99
Fat Content,2002 December,Import,%,
Fat Content,2003 January,Domestic,%,3.82
Fat Content,2003 January,Import,%,
Fat Content,2003 February,Domestic,%,3.79
Fat Content,2003 February,Import,%,
Fat Content,2003 March,Domestic,%,3.69
Fat Content,2003 March,Import,%,
Fat Content,2003 April,Domestic,%,3.55
Fat Content,2003 April,Import,%,
Fat Content,2003 May,Domestic,%,3.58
Fat Content,2003 May,Import,%,
Fat Content,2003 June,Domestic,%,3.6
Fat Content,2003 June,Import,%,
Fat Content,2003 July,Domestic,%,3.64
Fat Content,2003 July,Import,%,
Fat Content,2003 August,Domestic,%,3.69
Fat Content,2003 August,Import,%,
Fat Content,2003 September,Domestic,%,3.89
Fat Content,2003 September,Import,%,
Fat Content,2003 October,Domestic,%,4.09
Fat Content,2003 October,Import,%,
Fat Content,2003 November,Domestic,%,4.18
Fat Content,2003 November,Import,%,
Fat Content,2003 December,Domestic,%,3.99
Fat Content,2003 December,Import,%,
Fat Content,2004 January,Domestic,%,3.79
Fat Content,2004 January,Import,%,
Fat Content,2004 February,Domestic,%,3.75
Fat Content,2004 February,Import,%,
Fat Content,2004 March,Domestic,%,3.73
Fat Content,2004 March,Import,%,
Fat Content,2004 April,Domestic,%,3.61
Fat Content,2004 April,Import,%,
Fat Content,2004 May,Domestic,%,3.54
Fat Content,2004 May,Import,%,
Fat Content,2004 June,Domestic,%,3.58
Fat Content,2004 June,Import,%,
Fat Content,2004 July,Domestic,%,3.67
Fat Content,2004 July,Import,%,
Fat Content,2004 August,Domestic,%,3.75
Fat Content,2004 August,Import,%,
Fat Content,2004 September,Domestic,%,3.97
Fat Content,2004 September,Import,%,
Fat Content,2004 October,Domestic,%,4.16
Fat Content,2004 October,Import,%,
Fat Content,2004 November,Domestic,%,4.2
Fat Content,2004 November,Import,%,
Fat Content,2004 December,Domestic,%,3.99
Fat Content,2004 December,Import,%,
Fat Content,2005 January,Domestic,%,3.87
Fat Content,2005 January,Import,%,
Fat Content,2005 February,Domestic,%,3.87
Fat Content,2005 February,Import,%,
Fat Content,2005 March,Domestic,%,3.8
Fat Content,2005 March,Import,%,
Fat Content,2005 April,Domestic,%,3.67
Fat Content,2005 April,Import,%,
Fat Content,2005 May,Domestic,%,3.6
Fat Content,2005 May,Import,%,
Fat Content,2005 June,Domestic,%,3.61
Fat Content,2005 June,Import,%,
Fat Content,2005 July,Domestic,%,3.64
Fat Content,2005 July,Import,%,
Fat Content,2005 August,Domestic,%,3.75
Fat Content,2005 August,Import,%,
Fat Content,2005 September,Domestic,%,3.96
Fat Content,2005 September,Import,%,
Fat Content,2005 October,Domestic,%,4.16
Fat Content,2005 October,Import,%,
Fat Content,2005 November,Domestic,%,4.18
Fat Content,2005 November,Import,%,
Fat Content,2005 December,Domestic,%,3.96
Fat Content,2005 December,Import,%,
Fat Content,2006 January,Domestic,%,3.81
Fat Content,2006 January,Import,%,
Fat Content,2006 February,Domestic,%,3.83
Fat Content,2006 February,Import,%,
Fat Content,2006 March,Domestic,%,3.79
Fat Content,2006 March,Import,%,
Fat Content,2006 April,Domestic,%,3.64
Fat Content,2006 April,Import,%,
Fat Content,2006 May,Domestic,%,3.59
Fat Content,2006 May,Import,%,
Fat Content,2006 June,Domestic,%,3.57
Fat Content,2006 June,Import,%,
Fat Content,2006 July,Domestic,%,3.59
Fat Content,2006 July,Import,%,
Fat Content,2006 August,Domestic,%,3.73
Fat Content,2006 August,Import,%,
Fat Content,2006 September,Domestic,%,3.92
Fat Content,2006 September,Import,%,
Fat Content,2006 October,Domestic,%,4.1
Fat Content,2006 October,Import,%,
Fat Content,2006 November,Domestic,%,4.18
Fat Content,2006 November,Import,%,
Fat Content,2006 December,Domestic,%,4.01
Fat Content,2006 December,Import,%,
Fat Content,2007 January,Domestic,%,3.87
Fat Content,2007 January,Import,%,
Fat Content,2007 February,Domestic,%,3.87
Fat Content,2007 February,Import,%,
Fat Content,2007 March,Domestic,%,3.8
Fat Content,2007 March,Import,%,
Fat Content,2007 April,Domestic,%,3.59
Fat Content,2007 April,Import,%,
Fat Content,2007 May,Domestic,%,3.62
Fat Content,2007 May,Import,%,
Fat Content,2007 June,Domestic,%,3.66
Fat Content,2007 June,Import,%,
Fat Content,2007 July,Domestic,%,3.71
Fat Content,2007 July,Import,%,
Fat Content,2007 August,Domestic,%,3.79
Fat Content,2007 August,Import,%,
Fat Content,2007 September,Domestic,%,3.93
Fat Content,2007 September,Import,%,
Fat Content,2007 October,Domestic,%,4.12
Fat Content,2007 October,Import,%,
Fat Content,2007 November,Domestic,%,4.24
Fat Content,2007 November,Import,%,
Fat Content,2007 December,Domestic,%,4.05
Fat Content,2007 December,Import,%,
Fat Content,2008 January,Domestic,%,3.88
Fat Content,2008 January,Import,%,
Fat Content,2008 February,Domestic,%,3.87
Fat Content,2008 February,Import,%,
Fat Content,2008 March,Domestic,%,3.83
Fat Content,2008 March,Import,%,
Fat Content,2008 April,Domestic,%,3.66
Fat Content,2008 April,Import,%,
Fat Content,2008 May,Domestic,%,3.62
Fat Content,2008 May,Import,%,
Fat Content,2008 June,Domestic,%,3.66
Fat Content,2008 June,Import,%,
Fat Content,2008 July,Domestic,%,3.73
Fat Content,2008 July,Import,%,
Fat Content,2008 August,Domestic,%,3.85
Fat Content,2008 August,Import,%,
Fat Content,2008 September,Domestic,%,4.04
Fat Content,2008 September,Import,%,
Fat Content,2008 October,Domestic,%,4.23
Fat Content,2008 October,Import,%,
Fat Content,2008 November,Domestic,%,4.21
Fat Content,2008 November,Import,%,
Fat Content,2008 December,Domestic,%,4.05
Fat Content,2008 December,Import,%,
Fat Content,2009 January,Domestic,%,3.94
Fat Content,2009 January,Import,%,
Fat Content,2009 February,Domestic,%,3.94
Fat Content,2009 February,Import,%,
Fat Content,2009 March,Domestic,%,3.81
Fat Content,2009 March,Import,%,
Fat Content,2009 April,Domestic,%,3.67
Fat Content,2009 April,Import,%,
Fat Content,2009 May,Domestic,%,3.65
Fat Content,2009 May,Import,%,
Fat Content,2009 June,Domestic,%,3.65
Fat Content,2009 June,Import,%,
Fat Content,2009 July,Domestic,%,3.73
Fat Content,2009 July,Import,%,
Fat Content,2009 August,Domestic,%,3.85
Fat Content,2009 August,Import,%,
Fat Content,2009 September,Domestic,%,4.04
Fat Content,2009 September,Import,%,
Fat Content,2009 October,Domestic,%,4.16
Fat Content,2009 October,Import,%,
Fat Content,2009 November,Domestic,%,4.28
Fat Content,2009 November,Import,%,
Fat Content,2009 December,Domestic,%,4.1
Fat Content,2009 December,Import,%,
Fat Content,2010 January,Domestic,%,4.01
Fat Content,2010 January,Import,%,
Fat Content,2010 February,Domestic,%,3.99
Fat Content,2010 February,Import,%,
Fat Content,2010 March,Domestic,%,3.89
Fat Content,2010 March,Import,%,
Fat Content,2010 April,Domestic,%,3.67
Fat Content,2010 April,Import,%,
Fat Content,2010 May,Domestic,%,3.57
Fat Content,2010 May,Import,%,
Fat Content,2010 June,Domestic,%,3.65
Fat Content,2010 June,Import,%,
Fat Content,2010 July,Domestic,%,3.75
Fat Content,2010 July,Import,%,
Fat Content,2010 August,Domestic,%,3.83
Fat Content,2010 August,Import,%,
Fat Content,2010 September,Domestic,%,4.01
Fat Content,2010 September,Import,%,
Fat Content,2010 October,Domestic,%,4.18
Fat Content,2010 October,Import,%,
Fat Content,2010 November,Domestic,%,4.35
Fat Content,2010 November,Import,%,
Fat Content,2010 December,Domestic,%,4.23
Fat Content,2010 December,Import,%,
Fat Content,2011 January,Domestic,%,3.99
Fat Content,2011 January,Import,%,
Fat Content,2011 February,Domestic,%,3.96
Fat Content,2011 February,Import,%,
Fat Content,2011 March,Domestic,%,3.91
Fat Content,2011 March,Import,%,
Fat Content,2011 April,Domestic,%,3.72
Fat Content,2011 April,Import,%,
Fat Content,2011 May,Domestic,%,3.69
Fat Content,2011 May,Import,%,
Fat Content,2011 June,Domestic,%,3.72
Fat Content,2011 June,Import,%,
Fat Content,2011 July,Domestic,%,3.77
Fat Content,2011 July,Import,%,
Fat Content,2011 August,Domestic,%,3.89
Fat Content,2011 August,Import,%,
Fat Content,2011 September,Domestic,%,4.12
Fat Content,2011 September,Import,%,
Fat Content,2011 October,Domestic,%,4.33
Fat Content,2011 October,Import,%,
Fat Content,2011 November,Domestic,%,4.33
Fat Content,2011 November,Import,%,
Fat Content,2011 December,Domestic,%,4.15
Fat Content,2011 December,Import,%,
Fat Content,2012 January,Domestic,%,3.98
Fat Content,2012 January,Import,%,
Fat Content,2012 February,Domestic,%,4.06
Fat Content,2012 February,Import,%,
Fat Content,2012 March,Domestic,%,3.99
Fat Content,2012 March,Import,%,
Fat Content,2012 April,Domestic,%,3.81
Fat Content,2012 April,Import,%,
Fat Content,2012 May,Domestic,%,3.75
Fat Content,2012 May,Import,%,
Fat Content,2012 June,Domestic,%,3.76
Fat Content,2012 June,Import,%,
Fat Content,2012 July,Domestic,%,3.85
Fat Content,2012 July,Import,%,
Fat Content,2012 August,Domestic,%,3.94
Fat Content,2012 August,Import,%,
Fat Content,2012 September,Domestic,%,4.13
Fat Content,2012 September,Import,%,
Fat Content,2012 October,Domestic,%,4.34
Fat Content,2012 October,Import,%,
Fat Content,2012 November,Domestic,%,4.38
Fat Content,2012 November,Import,%,
Fat Content,2012 December,Domestic,%,4.14
Fat Content,2012 December,Import,%,
Fat Content,2013 January,Domestic,%,4
Fat Content,2013 January,Import,%,
Fat Content,2013 February,Domestic,%,4.03
Fat Content,2013 February,Import,%,
Fat Content,2013 March,Domestic,%,3.97
Fat Content,2013 March,Import,%,
Fat Content,2013 April,Domestic,%,3.86
Fat Content,2013 April,Import,%,
Fat Content,2013 May,Domestic,%,3.66
Fat Content,2013 May,Import,%,
Fat Content,2013 June,Domestic,%,3.71
Fat Content,2013 June,Import,%,
Fat Content,2013 July,Domestic,%,3.73
Fat Content,2013 July,Import,%,
Fat Content,2013 August,Domestic,%,3.92
Fat Content,2013 August,Import,%,
Fat Content,2013 September,Domestic,%,4.16
Fat Content,2013 September,Import,%,
Fat Content,2013 October,Domestic,%,4.4
Fat Content,2013 October,Import,%,
Fat Content,2013 November,Domestic,%,4.48
Fat Content,2013 November,Import,%,
Fat Content,2013 December,Domestic,%,4.26
Fat Content,2013 December,Import,%,
Fat Content,2014 January,Domestic,%,4.11
Fat Content,2014 January,Import,%,
Fat Content,2014 February,Domestic,%,4.11
Fat Content,2014 February,Import,%,
Fat Content,2014 March,Domestic,%,4.08
Fat Content,2014 March,Import,%,
Fat Content,2014 April,Domestic,%,3.87
Fat Content,2014 April,Import,%,
Fat Content,2014 May,Domestic,%,3.75
Fat Content,2014 May,Import,%,
Fat Content,2014 June,Domestic,%,3.73
Fat Content,2014 June,Import,%,
Fat Content,2014 July,Domestic,%,3.82
Fat Content,2014 July,Import,%,
Fat Content,2014 August,Domestic,%,3.97
Fat Content,2014 August,Import,%,
Fat Content,2014 September,Domestic,%,4.17
Fat Content,2014 September,Import,%,
Fat Content,2014 October,Domestic,%,4.49
Fat Content,2014 October,Import,%,
Fat Content,2014 November,Domestic,%,4.55
Fat Content,2014 November,Import,%,
Fat Content,2014 December,Domestic,%,4.25
Fat Content,2014 December,Import,%,
Fat Content,2015 January,Domestic,%,4.11
Fat Content,2015 January,Import,%,
Fat Content,2015 February,Domestic,%,4.15
Fat Content,2015 February,Import,%,
Fat Content,2015 March,Domestic,%,4.06
Fat Content,2015 March,Import,%,
Fat Content,2015 April,Domestic,%,3.82
Fat Content,2015 April,Import,%,
Fat Content,2015 May,Domestic,%,3.78
Fat Content,2015 May,Import,%,
Fat Content,2015 June,Domestic,%,3.8
Fat Content,2015 June,Import,%,
Fat Content,2015 July,Domestic,%,3.93
Fat Content,2015 July,Import,%,
Fat Content,2015 August,Domestic,%,4.04
Fat Content,2015 August,Import,%,
Fat Content,2015 September,Domestic,%,4.24
Fat Content,2015 September,Import,%,
Fat Content,2015 October,Domestic,%,4.43
Fat Content,2015 October,Import,%,
Fat Content,2015 November,Domestic,%,4.6
Fat Content,2015 November,Import,%,
Fat Content,2015 December,Domestic,%,4.37
Fat Content,2015 December,Import,%,
Fat Content,2016 January,Domestic,%,4.17
Fat Content,2016 January,Import,%,
Fat Content,2016 February,Domestic,%,4.24
Fat Content,2016 February,Import,%,
Fat Content,2016 March,Domestic,%,4.15
Fat Content,2016 March,Import,%,
Fat Content,2016 April,Domestic,%,4
Fat Content,2016 April,Import,%,
Fat Content,2016 May,Domestic,%,3.81
Fat Content,2016 May,Import,%,
Fat Content,2016 June,Domestic,%,3.85
Fat Content,2016 June,Import,%,
Fat Content,2016 July,Domestic,%,3.93
Fat Content,2016 July,Import,%,
Fat Content,2016 August,Domestic,%,4.08
Fat Content,2016 August,Import,%,
Fat Content,2016 September,Domestic,%,4.33
Fat Content,2016 September,Import,%,
Fat Content,2016 October,Domestic,%,4.54
Fat Content,2016 October,Import,%,
Fat Content,2016 November,Domestic,%,4.68
Fat Content,2016 November,Import,%,
Fat Content,2016 December,Domestic,%,4.4
Fat Content,2016 December,Import,%,
Fat Content,2017 January,Domestic,%,4.15
Fat Content,2017 January,Import,%,
Fat Content,2017 February,Domestic,%,4.22
Fat Content,2017 February,Import,%,
Fat Content,2017 March,Domestic,%,4.14
Fat Content,2017 March,Import,%,
Fat Content,2017 April,Domestic,%,3.9
Fat Content,2017 April,Import,%,
Fat Content,2017 May,Domestic,%,3.8
Fat Content,2017 May,Import,%,
Fat Content,2017 June,Domestic,%,3.86
Fat Content,2017 June,Import,%,
Fat Content,2017 July,Domestic,%,3.9
Fat Content,2017 July,Import,%,
Fat Content,2017 August,Domestic,%,4.08
Fat Content,2017 August,Import,%,
Fat Content,2017 September,Domestic,%,4.34
Fat Content,2017 September,Import,%,
Fat Content,2017 October,Domestic,%,4.58
Fat Content,2017 October,Import,%,
Fat Content,2017 November,Domestic,%,4.65
Fat Content,2017 November,Import,%,
Fat Content,2017 December,Domestic,%,4.57
Fat Content,2017 December,Import,%,
Fat Content,2018 January,Domestic,%,4.23
Fat Content,2018 January,Import,%,
Fat Content,2018 February,Domestic,%,4.25
Fat Content,2018 February,Import,%,
Fat Content,2018 March,Domestic,%,4.23
Fat Content,2018 March,Import,%,
Fat Content,2018 April,Domestic,%,4.05
Fat Content,2018 April,Import,%,
Fat Content,2018 May,Domestic,%,3.81
Fat Content,2018 May,Import,%,
Fat Content,2018 June,Domestic,%,3.82
Fat Content,2018 June,Import,%,
Fat Content,2018 July,Domestic,%,3.91
Fat Content,2018 July,Import,%,
Fat Content,2018 August,Domestic,%,4.12
Fat Content,2018 August,Import,%,
Fat Content,2018 September,Domestic,%,4.35
Fat Content,2018 September,Import,%,
Fat Content,2018 October,Domestic,%,4.53
Fat Content,2018 October,Import,%,
Fat Content,2018 November,Domestic,%,4.74
Fat Content,2018 November,Import,%,
Fat Content,2018 December,Domestic,%,4.58
Fat Content,2018 December,Import,%,
Fat Content,2019 January,Domestic,%,4.21
Fat Content,2019 January,Import,%,
Fat Content,2019 February,Domestic,%,4.32
